parcellation,scale,spintype,n_sig
atl-cammoun2012,scale033,naive-nonpara,503
atl-cammoun2012,scale033,vazquez-rodriguez,48
atl-cammoun2012,scale033,vasa,95
atl-cammoun2012,scale033,hungarian,75
atl-cammoun2012,scale033,baum,48
atl-cammoun2012,scale033,cornblath,34
atl-cammoun2012,scale033,burt2018,32
atl-cammoun2012,scale033,burt2020,159
atl-cammoun2012,scale033,moran,37
atl-cammoun2012,scale033,naive-para,1648
atl-cammoun2012,scale060,naive-nonpara,1101
atl-cammoun2012,scale060,vazquez-rodriguez,76
atl-cammoun2012,scale060,vasa,123
atl-cammoun2012,scale060,hungarian,97
atl-cammoun2012,scale060,baum,81
atl-cammoun2012,scale060,cornblath,43
atl-cammoun2012,scale060,burt2018,45
atl-cammoun2012,scale060,burt2020,151
atl-cammoun2012,scale060,moran,53
atl-cammoun2012,scale060,naive-para,2058
atl-cammoun2012,scale125,naive-nonpara,1788
atl-cammoun2012,scale125,vazquez-rodriguez,87
atl-cammoun2012,scale125,vasa,158
atl-cammoun2012,scale125,hungarian,109
atl-cammoun2012,scale125,baum,88
atl-cammoun2012,scale125,cornblath,48
atl-cammoun2012,scale125,burt2018,51
atl-cammoun2012,scale125,burt2020,161
atl-cammoun2012,scale125,moran,161
atl-cammoun2012,scale125,naive-para,2306
atl-cammoun2012,scale250,naive-nonpara,2513
atl-cammoun2012,scale250,vazquez-rodriguez,87
atl-cammoun2012,scale250,vasa,146
atl-cammoun2012,scale250,hungarian,105
atl-cammoun2012,scale250,baum,89
atl-cammoun2012,scale250,cornblath,56
atl-cammoun2012,scale250,burt2018,35
atl-cammoun2012,scale250,burt2020,208
atl-cammoun2012,scale250,moran,145
atl-cammoun2012,scale250,naive-para,2501
atl-cammoun2012,scale500,naive-nonpara,3268
atl-cammoun2012,scale500,vazquez-rodriguez,81
atl-cammoun2012,scale500,vasa,118
atl-cammoun2012,scale500,hungarian,87
atl-cammoun2012,scale500,baum,84
atl-cammoun2012,scale500,cornblath,62
atl-cammoun2012,scale500,burt2018,78
atl-cammoun2012,scale500,burt2020,190
atl-cammoun2012,scale500,moran,139
atl-cammoun2012,scale500,naive-para,2703
atl-schaefer2018,100Parcels7Networks,naive-nonpara,853
atl-schaefer2018,100Parcels7Networks,vazquez-rodriguez,92
atl-schaefer2018,100Parcels7Networks,vasa,165
atl-schaefer2018,100Parcels7Networks,hungarian,109
atl-schaefer2018,100Parcels7Networks,baum,92
atl-schaefer2018,100Parcels7Networks,cornblath,58
atl-schaefer2018,100Parcels7Networks,burt2018,96
atl-schaefer2018,100Parcels7Networks,burt2020,181
atl-schaefer2018,100Parcels7Networks,moran,75
atl-schaefer2018,100Parcels7Networks,naive-para,1965
atl-schaefer2018,200Parcels7Networks,naive-nonpara,1638
atl-schaefer2018,200Parcels7Networks,vazquez-rodriguez,114
atl-schaefer2018,200Parcels7Networks,vasa,183
atl-schaefer2018,200Parcels7Networks,hungarian,144
atl-schaefer2018,200Parcels7Networks,baum,114
atl-schaefer2018,200Parcels7Networks,cornblath,72
atl-schaefer2018,200Parcels7Networks,burt2018,117
atl-schaefer2018,200Parcels7Networks,burt2020,212
atl-schaefer2018,200Parcels7Networks,moran,58
atl-schaefer2018,200Parcels7Networks,naive-para,2265
atl-schaefer2018,300Parcels7Networks,naive-nonpara,1993
atl-schaefer2018,300Parcels7Networks,vazquez-rodriguez,118
atl-schaefer2018,300Parcels7Networks,vasa,189
atl-schaefer2018,300Parcels7Networks,hungarian,147
atl-schaefer2018,300Parcels7Networks,baum,114
atl-schaefer2018,300Parcels7Networks,cornblath,74
atl-schaefer2018,300Parcels7Networks,burt2018,96
atl-schaefer2018,300Parcels7Networks,burt2020,212
atl-schaefer2018,300Parcels7Networks,moran,85
atl-schaefer2018,300Parcels7Networks,naive-para,2356
atl-schaefer2018,400Parcels7Networks,naive-nonpara,2283
atl-schaefer2018,400Parcels7Networks,vazquez-rodriguez,113
atl-schaefer2018,400Parcels7Networks,vasa,176
atl-schaefer2018,400Parcels7Networks,hungarian,137
atl-schaefer2018,400Parcels7Networks,baum,115
atl-schaefer2018,400Parcels7Networks,cornblath,78
atl-schaefer2018,400Parcels7Networks,burt2018,87
atl-schaefer2018,400Parcels7Networks,burt2020,250
atl-schaefer2018,400Parcels7Networks,moran,78
atl-schaefer2018,400Parcels7Networks,naive-para,2475
atl-schaefer2018,500Parcels7Networks,naive-nonpara,2531
atl-schaefer2018,500Parcels7Networks,vazquez-rodriguez,105
atl-schaefer2018,500Parcels7Networks,vasa,178
atl-schaefer2018,500Parcels7Networks,hungarian,128
atl-schaefer2018,500Parcels7Networks,baum,105
atl-schaefer2018,500Parcels7Networks,cornblath,76
atl-schaefer2018,500Parcels7Networks,burt2018,96
atl-schaefer2018,500Parcels7Networks,burt2020,270
atl-schaefer2018,500Parcels7Networks,moran,70
atl-schaefer2018,500Parcels7Networks,naive-para,2491
atl-schaefer2018,600Parcels7Networks,naive-nonpara,2698
atl-schaefer2018,600Parcels7Networks,vazquez-rodriguez,107
atl-schaefer2018,600Parcels7Networks,vasa,177
atl-schaefer2018,600Parcels7Networks,hungarian,137
atl-schaefer2018,600Parcels7Networks,baum,107
atl-schaefer2018,600Parcels7Networks,cornblath,75
atl-schaefer2018,600Parcels7Networks,burt2018,84
atl-schaefer2018,600Parcels7Networks,burt2020,253
atl-schaefer2018,600Parcels7Networks,moran,74
atl-schaefer2018,600Parcels7Networks,naive-para,2555
atl-schaefer2018,700Parcels7Networks,naive-nonpara,2862
atl-schaefer2018,700Parcels7Networks,vazquez-rodriguez,95
atl-schaefer2018,700Parcels7Networks,vasa,140
atl-schaefer2018,700Parcels7Networks,hungarian,116
atl-schaefer2018,700Parcels7Networks,baum,95
atl-schaefer2018,700Parcels7Networks,cornblath,73
atl-schaefer2018,700Parcels7Networks,burt2018,108
atl-schaefer2018,700Parcels7Networks,burt2020,229
atl-schaefer2018,700Parcels7Networks,moran,49
atl-schaefer2018,700Parcels7Networks,naive-para,2574
atl-schaefer2018,800Parcels7Networks,naive-nonpara,2959
atl-schaefer2018,800Parcels7Networks,vazquez-rodriguez,98
atl-schaefer2018,800Parcels7Networks,vasa,145
atl-schaefer2018,800Parcels7Networks,hungarian,129
atl-schaefer2018,800Parcels7Networks,baum,98
atl-schaefer2018,800Parcels7Networks,cornblath,76
atl-schaefer2018,800Parcels7Networks,burt2018,114
atl-schaefer2018,800Parcels7Networks,burt2020,217
atl-schaefer2018,800Parcels7Networks,moran,67
atl-schaefer2018,800Parcels7Networks,naive-para,2610
atl-schaefer2018,900Parcels7Networks,naive-nonpara,3111
atl-schaefer2018,900Parcels7Networks,vazquez-rodriguez,99
atl-schaefer2018,900Parcels7Networks,vasa,144
atl-schaefer2018,900Parcels7Networks,hungarian,113
atl-schaefer2018,900Parcels7Networks,baum,97
atl-schaefer2018,900Parcels7Networks,cornblath,78
atl-schaefer2018,900Parcels7Networks,burt2018,106
atl-schaefer2018,900Parcels7Networks,burt2020,218
atl-schaefer2018,900Parcels7Networks,moran,60
atl-schaefer2018,900Parcels7Networks,naive-para,2661
atl-schaefer2018,1000Parcels7Networks,naive-nonpara,3218
atl-schaefer2018,1000Parcels7Networks,vazquez-rodriguez,95
atl-schaefer2018,1000Parcels7Networks,vasa,134
atl-schaefer2018,1000Parcels7Networks,hungarian,115
atl-schaefer2018,1000Parcels7Networks,baum,94
atl-schaefer2018,1000Parcels7Networks,cornblath,76
atl-schaefer2018,1000Parcels7Networks,burt2018,96
atl-schaefer2018,1000Parcels7Networks,burt2020,217
atl-schaefer2018,1000Parcels7Networks,moran,64
atl-schaefer2018,1000Parcels7Networks,naive-para,2657
